value,formattedValue,link,topic_mid,topic_title
400,+400%,/trends/explore?q=/g/11fgjycq4s&date=2023-05-11+2023-06-10,/g/11fgjycq4s,Beauty Creations
300,+300%,/trends/explore?q=/g/11jgg8m6qt&date=2023-05-11+2023-06-10,/g/11jgg8m6qt,Camera Ready Cosmetics
250,+250%,/trends/explore?q=/g/11bwfgwtdk&date=2023-05-11+2023-06-10,/g/11bwfgwtdk,IT Cosmetics Bye Bye Under Eye Anti-Aging Concealer
80,+80%,/trends/explore?q=/g/1yp37mbxq&date=2023-05-11+2023-06-10,/g/1yp37mbxq,Delia Cosmetics
50,+50%,/trends/explore?q=/g/11k6td193l&date=2023-05-11+2023-06-10,/g/11k6td193l,Beauty Icons AB
