value,formattedValue,link,topic_mid,topic_title
350,+350%,/trends/explore?q=/g/11fgjycq4s&date=2023-05-12+2023-06-11,/g/11fgjycq4s,Beauty Creations
200,+200%,/trends/explore?q=/g/11jgg8m6qt&date=2023-05-12+2023-06-11,/g/11jgg8m6qt,Camera Ready Cosmetics
110,+110%,/trends/explore?q=/g/11bwfgwtdk&date=2023-05-12+2023-06-11,/g/11bwfgwtdk,IT Cosmetics Bye Bye Under Eye Anti-Aging Concealer
